Name,Project Title,Amount($),Fiscal Year,Program
"Aafer, Yousra",Security Analysis and Evaluation of Emerging Smart Systems,24000,2022-2023,Discovery Grants Program - Individual
"Aamodt, Tor",Hardware Accelerators for Learning Systems,59000,2023-2024,Discovery Grants Program - Individual
"Abdalkareem, Rabe",Supporting the evolution of software ecosystems,12500,2022-2023,Discovery Launch Supplement
"Abdalkareem, Rabe",Supporting the evolution of software ecosystems,29000,2022-2023,Discovery Grants Program - Individual
"AbdelRaheem, Esam",Efficient Algorithms for Cognitive Radio Networks,46000,2022-2023,Discovery Grants Program - Individual
"Abdelrahman, Tarek",Reconfigurable Accelerators for Emerging Machine Learning Workloads,24000,2022-2023,Discovery Grants Program - Individual
"AbdulWahab, Omar","Data-driven Intelligent Attack Detection in Multilateral, Large-Scale and Heterogeneous Internet of Things Environments",24000,2022-2023,Discovery Grants Program - Individual
"Abebe, Michael",Data Access Policies in Erasure Coded Storage Systems,17500,2017-2018,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Abebe, Michael","Architectures for Elastic, and Self-Managing Cloud Data Management",35000,2018-2019,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Abebe, Michael","Architectures for Elastic, and Self-Managing Cloud Data Management",35000,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Abebe, Michael","Architectures for Elastic, and Self-Managing Cloud Data Management",35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Abedi, Ali",Seamless WiFi Sensing,12451,2022-2023,Discovery Grants Program - Individual
"Abidi, Samina",E-Health Platform for Remote Health Monitoring using Automated Activity Recognition to Assist Self-Care and Healthy Lifestyle Behaviours,35000,2022-2023,Discovery Grants Program - Individual
"Abidi, SyedHaniRazaSHRA",Investigating Machine Learning Algorithms to Predict Kidney Transplant Survival,6000,2022-2023,University Undergraduate Student Research Awards
"ABIDI, SYEDSIBTERAZA",Responding to COVID-19 disruptions to blood transfusion services: A data analytics and visualization platform for blood product inventory management during COVID-19,49975,2020-2021,Alliance Grants
"Abidi, SyedSibteRaza",Predicting clinical outcomes for patients admitted to intensive care unit: developing and validating a Canadian data based ICU prognostic and planning system,99660,2021-2022,Alliance Grants
"Abidi, SyedSibteRaza",Engaging the Patient into the Virtual Care Loop: An E-Health Framework using Data and Knowledge-Driven Methods for Ambient Sensor-Based Health Activity Monitoring to Remotely Determine Patient's Health and Functional Status,35000,2022-2023,Discovery Grants Program - Individual
"Abidi, SyedSibteRaza",Engaging the Patient into the Virtual Care Loop: An E-Health Framework using Data and Knowledge-Driven Methods for Ambient Sensor-Based Health Activity Monitoring to Remotely Determine Patient's Health and Functional Status,35000,2021-2022,Discovery Grants Program - Individual
"Abidi, SyedSibteRazaSSR",Predicting clinical outcomes for patients admitted to intensive care unit: developing and validating a Canadian data based ICU prognostic and planning system,99760,2022-2023,Alliance Grants
"Abolmaesumi, Purang",Ultrasound Imaging for Next Generation Continuous and Distributed Learning,149956,2023-2024,Research Tools and Instruments
"AbouChacra, David","Spatial, Temporal, and Context Cues to Improve Semantic and Instance Image Segmentation",21000,2019-2020,Postgraduate Scholarships - Doctoral
"AbouChacra, David","Spatial, Temporal, and Context Cues to Improve Semantic and Instance Image Segmentation",21000,2018-2019,Postgraduate Scholarships - Doctoral
"Abramchuk, Iryna",Unsupervised learning approaches for the characterization of RNA processing machineries,4500,2020-2021,University Undergraduate Student Research Awards
"Abran, Alain",Software Estimation & Measurement Issues,26000,2020-2021,Discovery Grants Program - Individual
"Abran, Alain",Software Estimation & Measurement Issues,26000,2019-2020,Discovery Grants Program - Individual
"Abran, Alain",Software Estimation & Measurement Issues,26000,2018-2019,Discovery Grants Program - Individual
"Abran, Alain",Software Estimation & Measurement Issues,26000,2017-2018,Discovery Grants Program - Individual
"Abran, Alain",Software Estimation & Measurement Issues,26000,2016-2017,Discovery Grants Program - Individual
"Abran, Alain",Metrology and software engineering,21000,2010-2011,Discovery Grants Program - Individual
"Abran, Alain","Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering",24000,2011-2012,Discovery Grants Program - Individual
